#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
OS And   |2446920.000|  152.00|12.30| 0.11|   2
OS And   |2446924.000|  156.00|12.15| 0.18|   2
OS And   |2446928.000|  160.00|12.20| 0.15|   1
OS And   |2446940.000|  172.00|12.38| 0.08|   4
OS And   |2446948.000|  180.00|12.60| 0.15|   1
OS And   |2446952.000|  184.00|12.20| 0.28|   2
OS And   |2446956.000|  188.00|12.40| 0.15|   1
OS And   |2446964.000|  196.00|12.25| 0.32|   2
OS And   |2446972.000|  204.00|12.43| 0.18|   3
OS And   |2446976.000|  208.00|12.60| 0.15|   4
OS And   |2446980.000|  212.00|12.57| 0.12|   6
OS And   |2446984.000|  216.00|12.58| 0.11|   4
OS And   |2446988.000|  220.00|12.64| 0.08|   5
OS And   |2446992.000|  224.00|12.68| 0.11|   4
OS And   |2446996.000|  228.00|12.77| 0.06|   6
OS And   |2447000.000|  232.00|12.78| 0.07|   5
OS And   |2447010.000|  242.00|12.88| 0.06|  20
OS And   |2447026.000|  258.00|13.01| 0.05|  34
OS And   |2447042.000|  274.00|13.17| 0.04|  35
OS And   |2447058.000|  290.00|13.18| 0.04|  48
OS And   |2447074.000|  306.00|13.25| 0.04|  31
OS And   |2447090.000|  322.00|13.34| 0.06|  29
OS And   |2447106.000|  338.00|13.46| 0.12|  12
OS And   |2447122.000|  354.00|13.73| 0.08|  25
OS And   |2447138.000|  370.00|13.74| 0.10|   9
OS And   |2447154.000|  386.00|14.04| 0.07|  11
OS And   |2447170.000|  402.00|14.23| 0.13|  11
OS And   |2447186.000|  418.00|13.78| 0.30|   4
OS And   |2447202.000|  434.00|14.48| 0.08|   4
OS And   |2447322.000|  554.00|15.00| 0.15|   1
OS And   |2447354.000|  586.00|15.10| 0.09|   3
OS And   |2447386.000|  618.00|15.11| 0.06|  11
OS And   |2447418.000|  650.00|15.14| 0.08|   8
OS And   |2447450.000|  682.00|15.36| 0.06|   7
OS And   |2447482.000|  714.00|15.46| 0.05|   8
OS And   |2447514.000|  746.00|15.45| 0.11|   2
OS And   |2447546.000|  778.00|15.37| 0.09|   3
OS And   |2447578.000|  810.00|15.60| 0.15|   1
OS And   |2447754.000|  986.00|14.93| 0.09|   9
OS And   |2447818.000| 1050.00|14.95| 0.08|   6
OS And   |2447882.000| 1114.00|15.13| 0.14|   6
OS And   |2448074.000| 1306.00|15.90| 0.15|   1
OS And   |2448138.000| 1370.00|14.84| 0.07|   5
CI Aql   |2451664.750|    0.75| 9.38| 0.07|   5
CI Aql   |2451665.250|    1.25| 9.15| 0.11|   2
CI Aql   |2451665.750|    1.75| 9.19| 0.07|   8
CI Aql   |2451666.250|    2.25| 9.00| 0.28|   2
CI Aql   |2451666.750|    2.75| 9.13| 0.02|  25
CI Aql   |2451667.250|    3.25| 9.33| 0.08|   4
CI Aql   |2451667.750|    3.75| 9.18| 0.02|  15
CI Aql   |2451668.250|    4.25| 9.06| 0.18|   5
CI Aql   |2451668.750|    4.75| 9.32| 0.04|  14
CI Aql   |2451669.250|    5.25| 9.40| 0.08|   4
CI Aql   |2451669.750|    5.75| 8.78| 0.07|  13
CI Aql   |2451670.500|    6.50| 9.08| 0.04|  14
CI Aql   |2451671.500|    7.50| 9.07| 0.04|  15
CI Aql   |2451672.500|    8.50| 9.04| 0.06|   9
CI Aql   |2451673.500|    9.50| 9.47| 0.05|   9
CI Aql   |2451674.500|   10.50| 9.56| 0.05|  12
CI Aql   |2451675.500|   11.50| 9.64| 0.05|  12
CI Aql   |2451676.500|   12.50| 9.96| 0.10|   9
CI Aql   |2451677.500|   13.50| 9.92| 0.06|  11
CI Aql   |2451678.500|   14.50|10.01| 0.06|  13
CI Aql   |2451679.500|   15.50|10.25| 0.03|  31
CI Aql   |2451680.500|   16.50| 9.80| 0.02|  23
CI Aql   |2451681.500|   17.50| 9.88| 0.03|  27
CI Aql   |2451682.500|   18.50| 9.83| 0.11|   4
CI Aql   |2451683.500|   19.50|10.11| 0.08|   7
CI Aql   |2451684.500|   20.50|10.71| 0.05|  15
CI Aql   |2451685.500|   21.50|11.06| 0.13|   5
CI Aql   |2451686.500|   22.50|10.43| 0.18|   4
CI Aql   |2451687.500|   23.50|10.48| 0.21|   4
CI Aql   |2451688.500|   24.50|10.11| 0.09|   8
CI Aql   |2451689.500|   25.50|10.13| 0.12|   6
CI Aql   |2451690.500|   26.50|10.17| 0.06|  14
CI Aql   |2451691.500|   27.50|10.44| 0.06|  20
CI Aql   |2451692.500|   28.50|10.67| 0.08|   6
CI Aql   |2451693.500|   29.50|10.05| 0.08|   6
CI Aql   |2451694.500|   30.50|10.55| 0.04|  17
CI Aql   |2451695.500|   31.50|10.73| 0.08|  15
CI Aql   |2451696.500|   32.50|10.68| 0.25|   4
CI Aql   |2451697.500|   33.50|11.13| 0.09|  12
CI Aql   |2451698.500|   34.50|11.08| 0.10|  13
CI Aql   |2451699.500|   35.50|11.26| 0.08|  13
CI Aql   |2451700.500|   36.50|11.62| 0.07|  13
CI Aql   |2451701.500|   37.50|11.79| 0.10|   8
CI Aql   |2451702.500|   38.50|11.85| 0.10|   4
CI Aql   |2451703.500|   39.50|11.88| 0.11|  10
CI Aql   |2451704.500|   40.50|11.73| 0.07|  16
CI Aql   |2451705.500|   41.50|12.01| 0.07|  11
CI Aql   |2451706.500|   42.50|12.14| 0.09|   9
CI Aql   |2451707.500|   43.50|12.38| 0.07|  15
CI Aql   |2451708.500|   44.50|12.50| 0.12|   3
CI Aql   |2451709.500|   45.50|12.50| 0.15|   1
CI Aql   |2451711.000|   47.00|12.55| 0.11|   2
CI Aql   |2451713.000|   49.00|12.60| 0.07|   5
CI Aql   |2451715.000|   51.00|13.01| 0.08|  14
CI Aql   |2451717.000|   53.00|12.43| 0.10|   6
CI Aql   |2451719.000|   55.00|12.36| 0.05|  18
CI Aql   |2451721.000|   57.00|12.43| 0.05|  16
CI Aql   |2451723.000|   59.00|12.25| 0.10|  11
CI Aql   |2451725.000|   61.00|12.25| 0.08|   6
CI Aql   |2451727.000|   63.00|12.42| 0.04|  13
CI Aql   |2451729.000|   65.00|12.54| 0.09|   7
CI Aql   |2451731.000|   67.00|12.64| 0.09|   5
CI Aql   |2451733.000|   69.00|12.59| 0.07|   9
CI Aql   |2451735.000|   71.00|12.68| 0.10|  10
CI Aql   |2451737.000|   73.00|12.93| 0.05|  11
CI Aql   |2451739.000|   75.00|13.10| 0.02|  12
CI Aql   |2451743.000|   79.00|13.32| 0.02|  26
CI Aql   |2451745.000|   81.00|13.22| 0.04|  20
CI Aql   |2451747.000|   83.00|13.41| 0.05|  11
CI Aql   |2451749.000|   85.00|13.38| 0.08|   4
CI Aql   |2451754.000|   90.00|13.61| 0.06|  39
CI Aql   |2451762.000|   98.00|13.49| 0.04|  42
CI Aql   |2451770.000|  106.00|13.62| 0.05|  10
CI Aql   |2451778.000|  114.00|13.56| 0.03|  34
CI Aql   |2451786.000|  122.00|13.63| 0.03|  28
CI Aql   |2451794.000|  130.00|13.76| 0.05|  25
CI Aql   |2451802.000|  138.00|13.72| 0.07|  10
CI Aql   |2451810.000|  146.00|13.78| 0.03|  21
CI Aql   |2451818.000|  154.00|13.78| 0.05|  27
CI Aql   |2451826.000|  162.00|13.98| 0.09|  12
CI Aql   |2451834.000|  170.00|13.92| 0.05|  34
CI Aql   |2451842.000|  178.00|13.89| 0.14|  12
CI Aql   |2451850.000|  186.00|14.11| 0.15|   7
CI Aql   |2451858.000|  194.00|13.90| 0.15|   1
CI Aql   |2451866.000|  202.00|14.05| 0.11|   2
CI Aql   |2451874.000|  210.00|14.20| 0.15|   1
CI Aql   |2451882.000|  218.00|14.30| 0.15|   1
CI Aql   |2451950.000|  286.00|14.00| 0.15|   1
CI Aql   |2451982.000|  318.00|14.50| 0.15|   1
CI Aql   |2452014.000|  350.00|14.84| 0.07|   5
CI Aql   |2452046.000|  382.00|14.82| 0.09|  10
CI Aql   |2452078.000|  414.00|15.35| 0.11|   2
CI Aql   |2452110.000|  446.00|15.02| 0.10|   6
CI Aql   |2452142.000|  478.00|15.40| 0.15|   1
CI Aql   |2452174.000|  510.00|14.80| 0.15|   1
CI Aql   |2452510.000|  846.00|16.00| 0.02|  10
CI Aql   |2452894.000| 1230.00|16.08| 0.07|  50
DO Aql   |2424414.000|    2.00| 9.01| 0.11|   2
DO Aql   |2424418.000|    6.00| 9.11| 0.09|   3
DO Aql   |2424422.000|   10.00| 8.93| 0.06|   6
DO Aql   |2424426.000|   14.00| 8.96| 0.06|   6
DO Aql   |2424430.000|   18.00| 8.79| 0.06|   7
DO Aql   |2424434.000|   22.00| 8.86| 0.05|   8
DO Aql   |2424438.000|   26.00| 8.83| 0.09|   3
DO Aql   |2424442.000|   30.00| 8.76| 0.11|   2
DO Aql   |2424446.000|   34.00| 8.67| 0.07|   5
DO Aql   |2424450.000|   38.00| 8.67| 0.07|   5
DO Aql   |2424454.000|   42.00| 8.62| 0.05|   9
DO Aql   |2424458.000|   46.00| 8.75| 0.07|   5
DO Aql   |2424462.000|   50.00| 8.68| 0.11|   2
DO Aql   |2424466.000|   54.00| 8.68| 0.06|   6
DO Aql   |2424470.000|   58.00| 8.54| 0.12|   2
DO Aql   |2424474.000|   62.00| 8.59| 0.07|   6
DO Aql   |2424482.000|   70.00| 8.64| 0.08|   4
DO Aql   |2424486.000|   74.00| 8.61| 0.15|   1
DO Aql   |2424490.000|   78.00| 8.64| 0.07|   7
DO Aql   |2424494.000|   82.00| 8.78| 0.11|   2
DO Aql   |2424498.000|   86.00| 8.80| 0.15|   1
DO Aql   |2424502.000|   90.00| 8.56| 0.15|   1
DO Aql   |2424506.000|   94.00| 8.64| 0.11|   2
DO Aql   |2424586.000|  174.00| 9.30| 0.15|   1
DO Aql   |2424594.000|  182.00| 8.94| 0.15|   1
DO Aql   |2424646.000|  234.00| 8.55| 0.15|   1
DO Aql   |2424652.000|  240.00| 8.80| 0.15|   1
DO Aql   |2424660.000|  248.00| 8.67| 0.15|   1
DO Aql   |2424668.000|  256.00| 8.95| 0.08|   4
DO Aql   |2424676.000|  264.00| 9.00| 0.06|   6
DO Aql   |2424684.000|  272.00| 9.28| 0.09|   3
DO Aql   |2424692.000|  280.00| 9.50| 0.02|  10
DO Aql   |2424700.000|  288.00| 9.74| 0.06|  11
DO Aql   |2424708.000|  296.00| 9.94| 0.03|  29
DO Aql   |2424716.000|  304.00|10.11| 0.03|  28
DO Aql   |2424724.000|  312.00|10.26| 0.05|   8
DO Aql   |2424732.000|  320.00|10.64| 0.04|  31
DO Aql   |2424740.000|  328.00|10.62| 0.03|  26
DO Aql   |2424748.000|  336.00|10.56| 0.06|   7
DO Aql   |2424756.000|  344.00|10.65| 0.06|  18
DO Aql   |2424764.000|  352.00|10.44| 0.08|   5
DO Aql   |2424772.000|  360.00|10.75| 0.08|  10
DO Aql   |2424780.000|  368.00|10.70| 0.15|   1
DO Aql   |2424788.000|  376.00|10.68| 0.04|  12
DO Aql   |2424796.000|  384.00|10.41| 0.07|   5
DO Aql   |2424804.000|  392.00|10.59| 0.15|   1
DO Aql   |2424820.000|  408.00|10.65| 0.15|   1
DO Aql   |2424828.000|  416.00|10.47| 0.06|   6
DO Aql   |2424852.000|  440.00|10.67| 0.15|   1
DO Aql   |2424860.000|  448.00|10.48| 0.12|   2
DO Aql   |2424952.000|  540.00|10.35| 0.15|   1
DO Aql   |2424984.000|  572.00|10.68| 0.15|   1
DO Aql   |2425000.000|  588.00|10.83| 0.15|   1
DO Aql   |2425016.000|  604.00|10.71| 0.15|   1
DO Aql   |2425032.000|  620.00|10.60| 0.10|   4
DO Aql   |2425048.000|  636.00|10.74| 0.08|   4
DO Aql   |2425064.000|  652.00|10.47| 0.15|   1
DO Aql   |2425080.000|  668.00|10.45| 0.15|   1
DO Aql   |2425096.000|  684.00|10.72| 0.08|   5
DO Aql   |2425112.000|  700.00|10.83| 0.06|   6
DO Aql   |2425128.000|  716.00|10.67| 0.10|   5
DO Aql   |2425144.000|  732.00|10.84| 0.08|   6
DO Aql   |2425160.000|  748.00|10.79| 0.09|   3
DO Aql   |2425176.000|  764.00|10.88| 0.09|   3
DO Aql   |2425192.000|  780.00|10.78| 0.15|   1
DO Aql   |2425208.000|  796.00|11.14| 0.11|   2
DO Aql   |2425224.000|  812.00|11.03| 0.15|   1
DO Aql   |2425368.000|  956.00|11.49| 0.15|   1
DO Aql   |2425384.000|  972.00|11.59| 0.11|   2
DO Aql   |2425400.000|  988.00|11.66| 0.11|   2
DO Aql   |2425416.000| 1004.00|11.61| 0.11|   2
DO Aql   |2425464.000| 1052.00|11.76| 0.15|   1
DO Aql   |2425480.000| 1068.00|11.81| 0.09|   3
DO Aql   |2425496.000| 1084.00|11.85| 0.07|   5
DO Aql   |2425512.000| 1100.00|11.85| 0.11|   2
DO Aql   |2425528.000| 1116.00|11.86| 0.08|   4
DO Aql   |2425560.000| 1148.00|11.88| 0.11|   2
DO Aql   |2425576.000| 1164.00|11.99| 0.15|   1
DO Aql   |2425728.000| 1316.00|15.23| 0.15|   1
DO Aql   |2455168.000|30756.00|18.02| 0.11|   2
V356 Aql |2428399.500|    1.50| 8.80| 0.15|   1
V356 Aql |2428403.500|    5.50| 7.95| 0.15|   1
V356 Aql |2428416.500|   18.50| 8.80| 0.15|   1
V356 Aql |2428419.500|   21.50| 8.25| 0.15|   1
V356 Aql |2428420.500|   22.50| 7.85| 0.15|   1
V356 Aql |2428421.500|   23.50| 7.90| 0.15|   1
V356 Aql |2428422.500|   24.50| 7.70| 0.15|   1
V356 Aql |2428425.500|   27.50| 7.53| 0.11|   2
V356 Aql |2428427.500|   29.50| 8.00| 0.15|   1
V356 Aql |2428429.500|   31.50| 8.50| 0.15|   1
V356 Aql |2428432.500|   34.50| 8.80| 0.15|   1
V356 Aql |2428433.500|   35.50| 8.10| 0.09|   3
V356 Aql |2428434.500|   36.50| 8.49| 0.13|   6
V356 Aql |2428435.500|   37.50| 8.51| 0.06|   6
V356 Aql |2428436.500|   38.50| 8.40| 0.17|   3
V356 Aql |2428437.500|   39.50| 8.40| 0.09|   5
V356 Aql |2428438.500|   40.50| 8.55| 0.11|   2
V356 Aql |2428439.500|   41.50| 7.69| 0.06|   6
V356 Aql |2428440.500|   42.50| 7.50| 0.09|   3
V356 Aql |2428441.500|   43.50| 7.75| 0.11|   2
V356 Aql |2428442.500|   44.50| 7.28| 0.13|   6
V356 Aql |2428443.500|   45.50| 7.15| 0.07|   5
V356 Aql |2428444.500|   46.50| 6.97| 0.10|   6
V356 Aql |2428445.500|   47.50| 7.11| 0.09|  11
V356 Aql |2428446.500|   48.50| 7.26| 0.13|   9
V356 Aql |2428447.500|   49.50| 7.61| 0.13|  10
V356 Aql |2428448.500|   50.50| 8.00| 0.22|   6
V356 Aql |2428449.500|   51.50| 8.51| 0.18|   8
V356 Aql |2428450.500|   52.50| 8.53| 0.12|  13
V356 Aql |2428451.500|   53.50| 8.50| 0.17|   3
V356 Aql |2428452.500|   54.50| 8.26| 0.11|  10
V356 Aql |2428453.500|   55.50| 8.50| 0.09|   3
V356 Aql |2428454.500|   56.50| 8.61| 0.16|   9
V356 Aql |2428455.500|   57.50| 8.04| 0.15|   5
V356 Aql |2428456.500|   58.50| 7.90| 0.10|   5
V356 Aql |2428457.500|   59.50| 8.30| 0.10|   7
V356 Aql |2428458.500|   60.50| 8.37| 0.09|   3
V356 Aql |2428459.500|   61.50| 8.35| 0.08|   4
V356 Aql |2428460.500|   62.50| 8.05| 0.06|   6
V356 Aql |2428461.500|   63.50| 8.14| 0.08|   5
V356 Aql |2428462.500|   64.50| 8.08| 0.13|   6
V356 Aql |2428463.500|   65.50| 8.62| 0.07|   5
V356 Aql |2428464.500|   66.50| 8.50| 0.11|   2
V356 Aql |2428465.500|   67.50| 8.40| 0.14|   2
V356 Aql |2428466.500|   68.50| 8.16| 0.13|   5
V356 Aql |2428467.500|   69.50| 7.93| 0.14|   3
V356 Aql |2428469.500|   71.50| 7.37| 0.27|   3
V356 Aql |2428470.500|   72.50| 7.80| 0.11|   2
V356 Aql |2428471.500|   73.50| 7.55| 0.15|   4
V356 Aql |2428472.500|   74.50| 7.55| 0.11|   2
V356 Aql |2428473.500|   75.50| 7.60| 0.10|   6
V356 Aql |2428474.500|   76.50| 7.80| 0.14|   2
V356 Aql |2428475.500|   77.50| 7.60| 0.09|   4
V356 Aql |2428476.500|   78.50| 7.70| 0.14|   3
V356 Aql |2428477.500|   79.50| 8.00| 0.12|   3
V356 Aql |2428478.500|   80.50| 7.91| 0.10|   7
V356 Aql |2428479.500|   81.50| 8.25| 0.18|   2
V356 Aql |2428480.500|   82.50| 8.90| 0.15|   1
V356 Aql |2428481.500|   83.50| 8.98| 0.08|   4
V356 Aql |2428482.500|   84.50| 8.06| 0.13|   5
V356 Aql |2428483.500|   85.50| 8.33| 0.15|   4
V356 Aql |2428484.500|   86.50| 7.80| 0.11|   4
V356 Aql |2428485.500|   87.50| 8.03| 0.06|   6
V356 Aql |2428486.500|   88.50| 8.58| 0.20|   4
V356 Aql |2428487.500|   89.50| 8.37| 0.10|   3
V356 Aql |2428489.500|   91.50| 8.83| 0.09|   3
V356 Aql |2428490.500|   92.50| 8.12| 0.17|   5
V356 Aql |2428491.500|   93.50| 7.65| 0.18|   2
V356 Aql |2428493.500|   95.50| 7.80| 0.14|   2
V356 Aql |2428494.500|   96.50| 8.15| 0.11|   2
V356 Aql |2428495.500|   97.50| 8.16| 0.13|   5
V356 Aql |2428496.500|   98.50| 8.20| 0.15|   1
V356 Aql |2428497.500|   99.50| 7.95| 0.08|   4
V356 Aql |2428498.500|  100.50| 7.80| 0.14|   2
V356 Aql |2428499.500|  101.50| 7.60| 0.15|   1
V356 Aql |2428500.500|  102.50| 8.45| 0.11|   2
V356 Aql |2428501.500|  103.50| 8.30| 0.15|   1
V356 Aql |2428502.500|  104.50| 8.60| 0.13|   4
V356 Aql |2428503.500|  105.50| 8.40| 0.11|   2
V356 Aql |2428504.500|  106.50| 8.45| 0.11|   2
V356 Aql |2428505.500|  107.50| 8.70| 0.15|   1
V356 Aql |2428506.500|  108.50| 8.63| 0.15|   3
V356 Aql |2428507.500|  109.50| 8.30| 0.15|   1
V356 Aql |2428508.500|  110.50| 8.50| 0.11|   2
V356 Aql |2428509.500|  111.50| 8.20| 0.15|   1
V356 Aql |2428510.500|  112.50| 9.05| 0.11|   2
V356 Aql |2428511.500|  113.50| 8.97| 0.09|   3
V356 Aql |2428513.500|  115.50| 8.90| 0.15|   1
V356 Aql |2428514.500|  116.50| 9.03| 0.15|   3
V356 Aql |2428515.500|  117.50| 8.80| 0.15|   1
V356 Aql |2428516.500|  118.50| 8.90| 0.09|   3
V356 Aql |2428517.500|  119.50| 8.50| 0.25|   3
V356 Aql |2428518.500|  120.50| 8.60| 0.15|   1
V356 Aql |2428520.500|  122.50| 9.00| 0.11|   2
V356 Aql |2428521.500|  123.50| 8.90| 0.21|   2
V356 Aql |2428522.500|  124.50| 9.50| 0.15|   1
V356 Aql |2428524.500|  126.50| 8.60| 0.15|   1
V356 Aql |2428525.500|  127.50| 9.25| 0.11|   2
V356 Aql |2428582.000|  184.00|10.00| 0.11|   2
V356 Aql |2428598.000|  200.00|10.30| 0.15|   1
V356 Aql |2428606.000|  208.00|10.60| 0.15|   1
V356 Aql |2428670.000|  272.00|10.80| 0.15|   1
V356 Aql |2428694.000|  296.00|11.00| 0.11|   2
V356 Aql |2428718.000|  320.00|11.50| 0.15|   1
V356 Aql |2428726.000|  328.00|11.50| 0.11|   2
V356 Aql |2428742.000|  344.00|10.80| 0.15|   1
V356 Aql |2428750.000|  352.00|11.03| 0.19|   3
V356 Aql |2428758.000|  360.00|10.80| 0.15|   1
V356 Aql |2428774.000|  376.00|11.40| 0.15|   1
V356 Aql |2428790.000|  392.00|11.50| 0.15|   1
V356 Aql |2428798.000|  400.00|11.80| 0.15|   1
V356 Aql |2428806.000|  408.00|12.20| 0.15|   1
V356 Aql |2428830.000|  432.00|12.03| 0.31|   3
V356 Aql |2428838.000|  440.00|11.75| 0.11|   2
V356 Aql |2428846.000|  448.00|11.65| 0.11|   2
V356 Aql |2428862.000|  464.00|12.00| 0.15|   1
V356 Aql |2428870.000|  472.00|11.80| 0.15|   1
V356 Aql |2429018.000|  620.00|13.00| 0.15|   1
V356 Aql |2429082.000|  684.00|13.00| 0.15|   1
V356 Aql |2429146.000|  748.00|13.60| 0.15|   1
V356 Aql |2429866.000| 1468.00|13.50| 0.15|   1
V528 Aql |2431693.250|    0.25| 6.94| 0.15|   1
V528 Aql |2431696.250|    3.25| 6.92| 0.15|   1
V528 Aql |2431697.250|    4.25| 7.30| 0.15|   1
V528 Aql |2431698.250|    5.25| 7.20| 0.15|   1
V528 Aql |2431699.250|    6.25| 8.08| 0.15|   1
V528 Aql |2431699.750|    6.75| 7.50| 0.09|   3
V528 Aql |2431700.250|    7.25| 7.66| 0.15|   1
V528 Aql |2431700.750|    7.75| 7.72| 0.07|   5
V528 Aql |2431701.250|    8.25| 8.25| 0.15|   1
V528 Aql |2431701.750|    8.75| 7.97| 0.14|   6
V528 Aql |2431702.250|    9.25| 7.95| 0.15|   1
V528 Aql |2431702.750|    9.75| 7.87| 0.10|   9
V528 Aql |2431703.250|   10.25| 7.86| 0.15|   1
V528 Aql |2431703.750|   10.75| 8.08| 0.08|   4
V528 Aql |2431704.750|   11.75| 8.10| 0.09|   7
V528 Aql |2431706.000|   13.00| 8.36| 0.07|  15
V528 Aql |2431708.000|   15.00| 8.78| 0.10|  12
V528 Aql |2431710.000|   17.00| 8.59| 0.09|   8
V528 Aql |2431712.000|   19.00| 8.72| 0.11|  11
V528 Aql |2431714.000|   21.00| 9.02| 0.12|   7
V528 Aql |2431716.000|   23.00| 9.13| 0.08|   4
V528 Aql |2431718.000|   25.00| 9.17| 0.09|   6
V528 Aql |2431720.000|   27.00| 9.20| 0.10|   6
V528 Aql |2431722.000|   29.00| 9.20| 0.11|   6
V528 Aql |2431724.000|   31.00| 9.49| 0.07|   7
V528 Aql |2431726.000|   33.00| 9.80| 0.15|   4
V528 Aql |2431728.000|   35.00| 9.76| 0.15|   3
V528 Aql |2431730.000|   37.00| 9.50| 0.17|   3
V528 Aql |2431732.000|   39.00| 9.92| 0.13|   6
V528 Aql |2431734.000|   41.00| 9.85| 0.11|   2
V528 Aql |2431736.000|   43.00|10.80| 0.14|   2
V528 Aql |2431738.000|   45.00|10.31| 0.12|   7
V528 Aql |2431740.000|   47.00|10.25| 0.11|   2
V528 Aql |2431742.000|   49.00|10.65| 0.11|   2
V528 Aql |2431744.000|   51.00|10.40| 0.15|   1
V528 Aql |2431746.000|   53.00|10.90| 0.15|   1
V528 Aql |2431750.000|   57.00|11.20| 0.19|   3
V528 Aql |2431756.000|   63.00|11.10| 0.15|   1
V528 Aql |2431758.000|   65.00|11.25| 0.18|   2
